class,t0,hour_mean_w_pergpu,n_gpus,r_1min,r_1min_node,r_5min,r_5min_node,r_15min,r_15min_node
training (LoRA),2025-09-19 22:30:00,617.956708894204,4,0.8979280821782409,0.8979472611825559,0.9627303386238326,0.9627381164535288,0.9862181631657949,0.9862199264942118
training (LoRA),2025-09-19 22:10:00,622.2261205290093,4,0.9045177636872392,0.9050770983189719,0.9776854153336335,0.9776883674851877,0.97881762229615,0.9788202699635679
training (LoRA),2025-09-19 22:20:00,619.3049993045897,4,0.8938124102776466,0.8938245583703905,0.9598413837217125,0.9598465875259863,0.9834350873553455,0.9834371431822457
training (LoRA),2025-09-19 22:30:00,617.4635277190542,4,0.8964781158555972,0.8964902259811937,0.9627042984860859,0.9627091537150075,0.9863685064671848,0.9863700638715376
training (LoRA),2025-09-19 23:30:00,585.3998174852597,4,0.12727720091883582,0.1272789899731667,0.4561659162886603,0.4561682995270806,0.8604585062838415,0.8604589999873817
training (LoRA),2025-09-19 23:40:00,611.9718268621016,4,0.8955490480575612,0.8955505576841339,0.956863124486362,0.9568633571333446,0.9934572816577294,0.9934571743414361
training (LoRA),2025-09-19 23:50:00,610.0102105885297,4,0.8984288622094605,0.8984303890660786,0.9599401620584787,0.9599403527317075,0.9658597580286679,0.9658601059236172
training (LoRA),2025-09-19 23:30:00,588.5978796316903,4,0.12725651182245207,0.12727544892180936,0.4555699466949097,0.45558740867352127,0.8601641282949943,0.8601704639224372
training (LoRA),2025-09-19 23:40:00,615.3380936769779,4,0.8986988495435356,0.8997078270510993,0.9571545975661646,0.9571616774084395,0.993677937701326,0.9936796316096449
training (LoRA),2025-09-19 23:50:00,613.3834537526427,4,0.9015625551177816,0.90257488325914,0.9602053846400009,0.960211819073103,0.9654647163566618,0.9654695889599539
training (LoRA),2025-09-19 23:40:00,604.3250678442281,4,0.21108251575142584,0.2110737703196539,0.6912600717376642,0.6912575685900996,1.0127223762030184,1.0127235096401779
training (LoRA),2025-09-19 23:50:00,619.2428012934631,4,0.9056857451341831,0.9061152757765452,0.963241492168175,0.9632469669749512,0.987224670027222,0.9872256823739518
training (LoRA),2025-09-20 00:00:00,617.2794045704907,4,0.908566197692164,0.9089973802982938,0.9663054251740459,0.9663107917589446,0.9903649584375781,0.9903657768842424
training (LoRA),2025-09-19 23:40:00,598.5257731419671,4,0.21418967574661518,0.21419183075558346,0.693027810461173,0.6930257626106352,1.0112706846333832,1.011272696305804
training (LoRA),2025-09-19 23:50:00,613.02433519219,4,0.8998839496400346,0.8999879218938858,0.9611029553188961,0.9611100372344061,0.9864653163062509,0.9864663234942275
training (LoRA),2025-09-20 00:00:00,610.9315592979918,4,0.902966605735226,0.9030708744756337,0.9643955783910729,0.9644023666074497,0.9898449039770053,0.9898455120642521
training (SD),2025-09-20 10:40:00,607.6831706024699,4,0.1906766257490501,0.19066575204678882,0.8549767107518069,0.8549966411684067,0.9783776555163319,0.9783991098287105
training (SD),2025-09-20 10:50:00,623.4457019107749,4,0.5117374853630001,0.5117476320533323,0.9023426320186669,0.902334151004143,0.9622352298246912,0.9622512304827874
training (SD),2025-09-20 11:00:00,628.5487905796296,4,0.507581242310457,0.5075928336007948,0.8950107777000619,0.8950082421001365,0.9544203438469284,0.9544388642441382
training (SD),2025-09-20 11:10:00,625.9310048673306,4,0.5097037000715384,0.509715702187161,0.898752796089652,0.8987513699694073,0.9778559879571358,0.977877140632365
