day,spans_pct,gpu_hours_pct,n_spans
0,2.1087466906438883,44.08871450286927,400380
1,0.04666743842792232,22.20967779102321,276424
2,0.03627973123975098,15.9456550477505,206727
3,0.025324776791727958,12.996277787802995,185589
4,0.16522325792727421,38.109585051881254,217887
5,0.13181935230714523,29.282063460764622,163102
6,0.07771255346752129,19.46403162582967,155702
7,0.08114122260971482,21.849975236591085,244019
8,0.11230942987937019,27.82447939987759,316091
9,0.023569905346253132,10.127000904801996,267290
10,0.01051103861189607,6.531923568941174,247359
11,0.030841136352797165,14.169087125521784,314515
12,0.02493081698287253,14.409733418073955,320888
13,0.038247813044689834,18.688339828245734,366034
14,0.05994650926865259,19.99088822347712,368662
15,0.11535269460898431,28.497704712332695,333759
16,0.023090208827848638,15.44175734288282,324813
17,0.022374830037348754,11.93287039898739,290505
18,0.034859665412370296,22.08286244841702,306945
19,0.058440761203192144,28.290351225732422,407250
20,0.09649421034737916,36.16518912088719,400024
21,0.041180778686604406,15.888015799538286,405529
22,0.06811828539911659,24.478408672377,424262
23,0.033879248401904684,17.5945100762482,268601
24,0.013994091948817244,9.72408737626418,393023
25,0.07489445022333721,28.09296650558687,408575
26,0.07350862312694373,21.782558937502948,265275
27,0.09200631072793583,24.472486768950493,331499
28,0.08638032980567212,31.809766665662902,358878
29,0.05459050437169672,22.082096901496477,448796
30,0.07985735403934956,25.529645845825005,328085
31,0.03653017294217445,23.770461139385496,407882
32,0.07395674403978524,31.57225726614462,343444
33,0.06884967622846222,26.534746718063744,336966
34,0.09275255810369915,27.671027676572763,337457
35,0.09413355523195341,28.154772448561644,384560
36,0.05329380199208556,19.74020402604701,326492
37,0.06709826439156107,22.525502905313054,245908
38,0.04936452665114849,23.200553993711786,263347
39,0.07505740998323122,30.545378470530483,335743
40,0.09499089418498417,30.56434228650888,330558
41,0.17071143992589116,39.17434650113025,398333
42,0.16083951738874494,36.598481643437694,431486
43,0.08726697932760517,30.80648491469579,364399
44,0.05749986463036354,25.63648464483209,387827
45,0.027028374545044226,15.226364703378117,381081
46,0.12714534534646177,40.6711965944047,537967
47,0.11261713296849842,35.16702052063542,448422
48,0.17097534513075685,48.62180286627913,534580
49,0.1665578187703063,41.634560313838676,486918
50,0.13943355119825707,35.48651404459059,413100
51,0.08232810615199035,33.217299358154015,331600
52,0.06241952712637734,30.660115938689458,382893
53,0.08780007821271335,28.289723321787164,396355
54,0.07895207261604464,26.133421522623916,402776
55,0.14816262906354016,32.237380222491616,388762
56,0.1252351379905687,31.01017425681472,388070
57,0.13153466590194862,39.61577040666962,421942
58,0.05831412373060868,28.78376840108352,401275
59,0.05275328409693485,17.714517601792444,365854
60,0.09288248134379909,26.61170196107107,470487
61,0.10666714272643894,30.85138849594295,448123
62,0.16468994959887306,47.09997547870815,533123
63,0.1251196773941291,35.909233446096486,473147
64,0.12345951730519536,40.35019708673458,407421
65,0.05459059427795632,25.646417339688952,421318
66,0.04081101028958451,17.247236022843584,345495
67,0.14767014075610527,44.95207586188967,468612
68,0.15508939642257852,43.88022934165276,511318
69,0.14272878350548254,38.26279407086458,503052
70,0.13707250013025896,36.90635767023486,499006
71,0.26951202685921904,53.897679576846535,543575
72,0.09872487286061542,29.32613057894996,361611
73,0.12080793387614722,33.05699645511437,324482
74,0.1337479594009511,35.49133968741807,450848
75,0.23731801953236303,51.583227136724,522927
76,0.16710437231285388,34.28178721019849,463782
77,0.17637393815690292,30.42326302456017,472292
78,0.2864299686957285,36.39264930014801,364487
79,0.3072286569774478,29.087536579380334,256161
