tier,margin,scenario,budget_pct,p5,p50,p95
facility_marginal_linear_k0.1,0.1,const20,0.5,4084.4706947182203,4184.8319402288325,4280.852764154588
facility_marginal_linear_k0.1,0.1,const20,1.0,4084.4706947182203,4184.8319402288325,4280.852764154588
facility_marginal_linear_k0.1,0.1,const20,2.0,4084.4706947182203,4184.8319402288325,4280.852764154588
facility_marginal_linear_k0.1,0.1,constM,0.25,3530.058464335525,3616.7970140013495,3699.784296204598
facility_marginal_linear_k0.1,0.1,constM,0.5,3530.058464335525,3616.7970140013495,3699.784296204598
facility_marginal_linear_k0.1,0.1,constM,1.0,3530.058464335525,3616.7970140013495,3699.784296204598
facility_marginal_linear_k0.1,0.1,constM,2.0,3530.058464335525,3616.7970140013495,3699.784296204598
facility_marginal_linear_k0.1,0.1,measured,0.25,3504.7051635046955,3606.203141353035,3734.1378707424155
facility_marginal_linear_k0.1,0.1,measured,0.5,3504.7051635046955,3606.203141353035,3734.1378707424155
facility_marginal_linear_k0.1,0.1,measured,1.0,3504.7051635046955,3606.203141353035,3734.1378707424155
facility_marginal_linear_k0.1,0.1,measured,2.0,3504.7051635046955,3606.203141353035,3734.1378707424155
facility_marginal_linear_k0.1,0.1,measured_attributed,0.25,3666.7137429449213,3794.774079669878,3965.2428671106463
facility_marginal_linear_k0.1,0.1,measured_attributed,0.5,3666.7137429449213,3794.774079669878,3965.2428671106463
facility_marginal_linear_k0.1,0.1,measured_attributed,1.0,3666.7137429449213,3794.774079669878,3965.2428671106463
facility_marginal_linear_k0.1,0.1,measured_attributed,2.0,3666.7137429449213,3794.774079669878,3965.2428671106463
