tier,margin,scenario,budget_pct,p5,p50,p95
facility_avg_pue,0.0,full,0.25,918.5045506119422,936.7888964970916,963.453338549698
facility_avg_pue,0.0,full,0.5,1354.9999999850115,1372.474893423714,1395.435850130525
facility_avg_pue,0.0,full,1.0,2099.2981386643805,2122.328189389009,2157.2070484289725
facility_avg_pue,0.0,full,2.0,3058.7971856684817,3090.665967984023,3135.7658765609813
facility_avg_pue,0.0,cap25,0.25,0.0,0.0,0.0
facility_avg_pue,0.0,cap25,0.5,0.0,0.0,0.0
facility_avg_pue,0.0,cap25,1.0,0.0,0.0,0.0
facility_avg_pue,0.0,cap25,2.0,0.0,0.0,0.0
facility_avg_pue,0.0,constM,0.25,0.0,0.0,0.0
facility_avg_pue,0.0,constM,0.5,0.0,0.0,0.0
facility_avg_pue,0.0,constM,1.0,0.0,0.0,0.0
facility_avg_pue,0.0,constM,2.0,0.0,0.0,0.0
facility_avg_pue,0.0,measured,0.25,0.0,0.0,0.0
facility_avg_pue,0.0,measured,0.5,0.0,0.0,0.0
facility_avg_pue,0.0,measured,1.0,0.0,0.0,0.0
facility_avg_pue,0.0,measured,2.0,0.0,0.0,0.0
facility_avg_pue,0.0,measured_attributed,0.25,0.0,0.0,0.0
facility_avg_pue,0.0,measured_attributed,0.5,0.0,0.0,0.0
facility_avg_pue,0.0,measured_attributed,1.0,0.0,0.0,0.0
facility_avg_pue,0.0,measured_attributed,2.0,0.0,0.0,0.0
facility_avg_pue,0.02,full,0.25,1584.654118933031,1606.3950568877772,1653.433956277695
facility_avg_pue,0.02,full,0.5,2015.58009256496,2042.9080569283542,2078.5972060148197
facility_avg_pue,0.02,full,1.0,2763.6069017999034,2793.9766620238515,2838.392942883729
facility_avg_pue,0.02,full,2.0,3725.682338226761,3763.6726607615856,3815.594657150541
facility_avg_pue,0.02,cap25,0.25,871.3537482090032,898.2805760933843,952.5279843974203
facility_avg_pue,0.02,cap25,0.5,871.3537482090032,898.2805760933843,952.5279843974203
facility_avg_pue,0.02,cap25,1.0,871.3537482090032,898.2805760933843,952.5279843974203
facility_avg_pue,0.02,cap25,2.0,871.3537482090032,898.2805760933843,952.5279843974203
facility_avg_pue,0.02,constM,0.25,711.4151423502335,733.3995007502381,777.6896960695011
facility_avg_pue,0.02,constM,0.5,711.4151423502335,733.3995007502381,777.6896960695011
facility_avg_pue,0.02,constM,1.0,711.4151423502335,733.3995007502381,777.6896960695011
facility_avg_pue,0.02,constM,2.0,711.4151423502335,733.3995007502381,777.6896960695011
facility_avg_pue,0.02,measured,0.25,704.833155002234,735.8873695102375,778.4147026459323
facility_avg_pue,0.02,measured,0.5,704.833155002234,735.8873695102375,778.4147026459323
facility_avg_pue,0.02,measured,1.0,704.833155002234,735.8873695102375,778.4147026459323
facility_avg_pue,0.02,measured,2.0,704.833155002234,735.8873695102375,778.4147026459323
facility_avg_pue,0.02,measured_attributed,0.25,741.7847598399021,783.2023002265487,837.2985700607387
facility_avg_pue,0.02,measured_attributed,0.5,741.7847598399021,783.2023002265487,837.2985700607387
facility_avg_pue,0.02,measured_attributed,1.0,741.7847598399021,783.2023002265487,837.2985700607387
facility_avg_pue,0.02,measured_attributed,2.0,741.7847598399021,783.2023002265487,837.2985700607387
facility_avg_pue,0.05,full,0.25,2579.77001960262,2612.3115066093305,2687.2068662341917
facility_avg_pue,0.05,full,0.5,3012.3673059897556,3053.6769656464458,3119.830398994054
facility_avg_pue,0.05,full,1.0,3760.057232170766,3802.3012350640784,3861.797462813229
facility_avg_pue,0.05,full,2.0,4731.719612490451,4773.945388842549,4846.0879487092825
facility_avg_pue,0.05,cap25,0.25,2178.3843705234176,2245.7014402334607,2321.662024660327
facility_avg_pue,0.05,cap25,0.5,2178.3843705234176,2245.7014402334607,2321.662024660327
facility_avg_pue,0.05,cap25,1.0,2178.3843705234176,2245.7014402334607,2321.662024660327
facility_avg_pue,0.05,cap25,2.0,2178.3843705234176,2245.7014402334607,2321.662024660327
facility_avg_pue,0.05,constM,0.25,1778.5378558673983,1833.4987518755952,1895.5166293380898
facility_avg_pue,0.05,constM,0.5,1778.5378558673983,1833.4987518755952,1895.5166293380898
facility_avg_pue,0.05,constM,1.0,1778.5378558673983,1833.4987518755952,1895.5166293380898
facility_avg_pue,0.05,constM,2.0,1778.5378558673983,1833.4987518755952,1895.5166293380898
facility_avg_pue,0.05,measured,0.25,1762.0828875242296,1837.0092185978137,1898.7390032343683
facility_avg_pue,0.05,measured,0.5,1762.0828875242296,1837.0092185978137,1898.7390032343683
facility_avg_pue,0.05,measured,1.0,1762.0828875242296,1837.0092185978137,1898.7390032343683
facility_avg_pue,0.05,measured,2.0,1762.0828875242296,1837.0092185978137,1898.7390032343683
facility_avg_pue,0.05,measured_attributed,0.25,1854.461899609305,1945.5780159660208,2034.217831595015
facility_avg_pue,0.05,measured_attributed,0.5,1854.461899609305,1945.5780159660208,2034.217831595015
facility_avg_pue,0.05,measured_attributed,1.0,1854.461899609305,1945.5780159660208,2034.217831595015
facility_avg_pue,0.05,measured_attributed,2.0,1854.461899609305,1945.5780159660208,2034.217831595015
facility_avg_pue,0.1,full,0.25,4233.465495179189,4289.277811330976,4404.664755729755
facility_avg_pue,0.1,full,0.5,4677.476929434306,4737.440437802434,4847.972140349157
facility_avg_pue,0.1,full,1.0,5420.9524831721865,5478.091924378532,5577.182039593936
facility_avg_pue,0.1,full,2.0,6405.768536855248,6458.4816821115965,6556.141916196793
facility_avg_pue,0.1,cap25,0.25,4233.465495179189,4289.277811330976,4404.664755729755
facility_avg_pue,0.1,cap25,0.5,4356.768741046835,4463.820736245907,4566.24294842004
facility_avg_pue,0.1,cap25,1.0,4356.768741046835,4463.820736245907,4566.24294842004
facility_avg_pue,0.1,cap25,2.0,4356.768741046835,4463.820736245907,4566.24294842004
facility_avg_pue,0.1,constM,0.25,3557.0757117529865,3644.4781135560333,3728.1005376435132
facility_avg_pue,0.1,constM,0.5,3557.0757117529865,3644.4781135560333,3728.1005376435132
facility_avg_pue,0.1,constM,1.0,3557.0757117529865,3644.4781135560333,3728.1005376435132
facility_avg_pue,0.1,constM,2.0,3557.0757117529865,3644.4781135560333,3728.1005376435132
facility_avg_pue,0.1,measured,0.25,3524.165775066649,3633.0756319966895,3761.1124801560436
facility_avg_pue,0.1,measured,0.5,3524.165775066649,3633.0756319966895,3761.1124801560436
facility_avg_pue,0.1,measured,1.0,3524.165775066649,3633.0756319966895,3761.1124801560436
facility_avg_pue,0.1,measured,2.0,3524.165775066649,3633.0756319966895,3761.1124801560436
facility_avg_pue,0.1,measured_attributed,0.25,3705.333551545664,3840.556720169843,4024.2617873564086
facility_avg_pue,0.1,measured_attributed,0.5,3705.333551545664,3840.556720169843,4024.2617873564086
facility_avg_pue,0.1,measured_attributed,1.0,3705.333551545664,3840.556720169843,4024.2617873564086
facility_avg_pue,0.1,measured_attributed,2.0,3705.333551545664,3840.556720169843,4024.2617873564086
