dataset,mask,residual,block_hours,,R,rho_weighted
ASI_modeled_workload_MW,trim,calendar,168,0.05,1.0791671738670865,0.11580325643054341
ASI_modeled_workload_MW,trim,calendar,168,0.5,1.2220724893054,0.32192978288643814
ASI_modeled_workload_MW,trim,calendar,168,0.95,1.4191337644329718,0.5766094275478316
ASI_modeled_workload_MW,trim,calendar,336,0.05,1.0791671738670865,0.11580325643054341
ASI_modeled_workload_MW,trim,calendar,336,0.5,1.2220724893054,0.32192978288643814
ASI_modeled_workload_MW,trim,calendar,336,0.95,1.4191337644329718,0.5766094275478316
ASI_modeled_workload_MW,trim,raw,168,0.05,1.1238945335144137,0.21178090376476771
ASI_modeled_workload_MW,trim,raw,168,0.5,1.2670958943361508,0.37120911875221
ASI_modeled_workload_MW,trim,raw,168,0.95,1.4447785162481885,0.6064645455478554
ASI_modeled_workload_MW,trim,raw,336,0.05,1.1238945335144137,0.21178090376476771
ASI_modeled_workload_MW,trim,raw,336,0.5,1.2670958943361508,0.37120911875221
ASI_modeled_workload_MW,trim,raw,336,0.95,1.4447785162481885,0.6064645455478554
ASI_modeled_workload_MW,trim_low_allocation,calendar,168,0.05,1.0857120363030324,0.12966442301910608
ASI_modeled_workload_MW,trim_low_allocation,calendar,168,0.5,1.2379757426239832,0.34561945246848375
ASI_modeled_workload_MW,trim_low_allocation,calendar,168,0.95,1.4206319101046556,0.5805260275444617
ASI_modeled_workload_MW,trim_low_allocation,calendar,336,0.05,1.0857120363030324,0.12966442301910608
ASI_modeled_workload_MW,trim_low_allocation,calendar,336,0.5,1.2379757426239832,0.34561945246848375
ASI_modeled_workload_MW,trim_low_allocation,calendar,336,0.95,1.4206319101046556,0.5805260275444617
ASI_modeled_workload_MW,trim_low_allocation,raw,168,0.05,1.1296678250789547,0.23350057669698668
ASI_modeled_workload_MW,trim_low_allocation,raw,168,0.5,1.2867670391052592,0.4097986480158609
ASI_modeled_workload_MW,trim_low_allocation,raw,168,0.95,1.4526267940774222,0.6153360533994847
ASI_modeled_workload_MW,trim_low_allocation,raw,336,0.05,1.1296678250789547,0.23350057669698668
ASI_modeled_workload_MW,trim_low_allocation,raw,336,0.5,1.2867670391052592,0.4097986480158609
ASI_modeled_workload_MW,trim_low_allocation,raw,336,0.95,1.4526267940774222,0.6153360533994847
