facility_denominator,marginal_pue,target_fraction,hours,n_windows,fraction_windows_envelope_covers_target,full_envelope_k95_mw,fraction_facility_k95_mw,same_k95_ratio
base_mw,1.0,0.2,1,4439,0.7474656454156342,9.129919426023626,8.898426192511627,1.0260150759812796
base_mw,1.0,0.2,4,4433,0.6880216557635912,8.883922163595662,8.816052540720369,1.0076984140647767
base_mw,1.0,0.2,24,4393,0.5727293421352151,8.300765475496592,8.655735099336338,0.9589902394463339
base_mw,1.0,0.3,1,4439,0.0,9.129919426023626,13.347639288767438,0.6840100506541866
base_mw,1.0,0.3,4,4433,0.0,8.883922163595662,13.224078811080554,0.6717989427098512
base_mw,1.0,0.3,24,4393,0.0,8.300765475496592,12.983602649004505,0.6393268262975561
base_mw,1.0,0.5,1,4439,0.0,9.129919426023626,22.246065481279064,0.41040603039251194
base_mw,1.0,0.5,4,4433,0.0,8.883922163595662,22.040131351800923,0.4030793656259107
base_mw,1.0,0.5,24,4393,0.0,8.300765475496592,21.639337748340843,0.3835960957785336
base_mw,1.0,1.0,1,4439,0.0,9.129919426023626,44.49213096255813,0.20520301519625597
base_mw,1.0,1.0,4,4433,0.0,8.883922163595662,44.080262703601846,0.20153968281295534
base_mw,1.0,1.0,24,4393,0.0,8.300765475496592,43.278675496681686,0.1917980478892668
base_mw,1.2,0.2,1,4439,0.986933994142825,10.95590331122835,8.898426192511627,1.2312180911775357
base_mw,1.2,0.2,4,4433,0.9758628468305888,10.660706596314794,8.816052540720369,1.209238096877732
base_mw,1.2,0.2,24,4393,0.9330753471431823,9.96091857059591,8.655735099336338,1.1507882873356006
base_mw,1.2,0.3,1,4439,0.002928587519711647,10.95590331122835,13.347639288767438,0.8208120607850239
base_mw,1.2,0.3,4,4433,0.0011279043537108053,10.660706596314794,13.224078811080554,0.8061587312518214
base_mw,1.2,0.3,24,4393,0.0,9.96091857059591,12.983602649004505,0.7671921915570672
base_mw,1.2,0.5,1,4439,0.0,10.95590331122835,22.246065481279064,0.4924872364710143
base_mw,1.2,0.5,4,4433,0.0,10.660706596314794,22.040131351800923,0.4836952387510928
base_mw,1.2,0.5,24,4393,0.0,9.96091857059591,21.639337748340843,0.4603153149342403
base_mw,1.2,1.0,1,4439,0.0,10.95590331122835,44.49213096255813,0.24624361823550714
base_mw,1.2,1.0,4,4433,0.0,10.660706596314794,44.080262703601846,0.2418476193755464
base_mw,1.2,1.0,24,4393,0.0,9.96091857059591,43.278675496681686,0.23015765746712016
p50_mw,1.0,0.2,1,4439,0.5134039198017571,9.129919426023626,9.494057600901664,0.9616456745698009
p50_mw,1.0,0.2,4,4433,0.4119106699751861,8.883922163595662,9.397351034957811,0.9453645107592328
p50_mw,1.0,0.2,24,4393,0.1887093102663328,8.300765475496592,9.19857199293193,0.9023971853321144
p50_mw,1.0,0.3,1,4439,0.0,9.129919426023626,14.241086401352495,0.6410971163798673
p50_mw,1.0,0.3,4,4433,0.0,8.883922163595662,14.096026552436715,0.630243007172822
p50_mw,1.0,0.3,24,4393,0.0,8.300765475496592,13.797857989397892,0.6015981235547431
p50_mw,1.0,0.5,1,4439,0.0,9.129919426023626,23.73514400225416,0.3846582698279204
p50_mw,1.0,0.5,4,4433,0.0,8.883922163595662,23.493377587394527,0.37814580430369316
p50_mw,1.0,0.5,24,4393,0.0,8.300765475496592,22.996429982329822,0.3609588741328458
p50_mw,1.0,1.0,1,4439,0.0,9.129919426023626,47.47028800450832,0.1923291349139602
p50_mw,1.0,1.0,4,4433,0.0,8.883922163595662,46.98675517478905,0.18907290215184658
p50_mw,1.0,1.0,24,4393,0.0,8.300765475496592,45.992859964659644,0.1804794370664229
p50_mw,1.2,0.2,1,4439,0.9479612525343546,10.95590331122835,9.494057600901664,1.153974809483761
p50_mw,1.2,0.2,4,4433,0.914504849988721,10.660706596314794,9.397351034957811,1.1344374129110795
p50_mw,1.2,0.2,24,4393,0.8222171636694742,9.96091857059591,9.19857199293193,1.0828766223985373
p50_mw,1.2,0.3,1,4439,0.0,10.95590331122835,14.241086401352495,0.7693165396558407
p50_mw,1.2,0.3,4,4433,0.0,10.660706596314794,14.096026552436715,0.7562916086073864
p50_mw,1.2,0.3,24,4393,0.0,9.96091857059591,13.797857989397892,0.7219177482656917
p50_mw,1.2,0.5,1,4439,0.0,10.95590331122835,23.73514400225416,0.4615899237935044
p50_mw,1.2,0.5,4,4433,0.0,10.660706596314794,23.493377587394527,0.45377496516443183
p50_mw,1.2,0.5,24,4393,0.0,9.96091857059591,22.996429982329822,0.43315064895941496
p50_mw,1.2,1.0,1,4439,0.0,10.95590331122835,47.47028800450832,0.2307949618967522
p50_mw,1.2,1.0,4,4433,0.0,10.660706596314794,46.98675517478905,0.22688748258221592
p50_mw,1.2,1.0,24,4393,0.0,9.96091857059591,45.992859964659644,0.21657532447970748
