training_fraction,offline_fraction,hours,coverage,shift_envelope_mw,deferred_active_mwh,extra_energy_fraction,recovery_active_mwh,external_recovery_headroom_mw,recovery_time_lower_bound_h,net_active_energy_saved_mwh
0.5,0.5,4,0.95,3.0314128577353667,12.125651430941467,0.05,12.731934002488542,5.0,2.546386800497708,-0.6062825715470734
0.5,0.5,4,0.95,3.0314128577353667,12.125651430941467,0.1,13.338216574035615,0.5,26.67643314807123,-1.2125651430941469
0.5,0.5,4,0.95,3.0314128577353667,12.125651430941467,0.1,13.338216574035615,1.0,13.338216574035615,-1.2125651430941469
0.5,0.5,4,0.95,3.0314128577353667,12.125651430941467,0.1,13.338216574035615,2.0,6.669108287017807,-1.2125651430941469
0.5,0.5,4,0.95,3.0314128577353667,12.125651430941467,0.1,13.338216574035615,5.0,2.667643314807123,-1.2125651430941469
0.5,0.5,4,0.95,3.0314128577353667,12.125651430941467,0.25,15.157064288676834,0.5,30.314128577353667,-3.0314128577353667
0.5,0.5,4,0.95,3.0314128577353667,12.125651430941467,0.25,15.157064288676834,1.0,15.157064288676834,-3.0314128577353667
0.5,0.5,4,0.95,3.0314128577353667,12.125651430941467,0.25,15.157064288676834,2.0,7.578532144338417,-3.0314128577353667
0.5,0.5,4,0.95,3.0314128577353667,12.125651430941467,0.25,15.157064288676834,5.0,3.0314128577353667,-3.0314128577353667
0.5,0.5,24,0.95,2.9030665156137583,69.6735963747302,0.0,69.6735963747302,0.5,139.3471927494604,0.0
0.5,0.5,24,0.95,2.9030665156137583,69.6735963747302,0.0,69.6735963747302,1.0,69.6735963747302,0.0
0.5,0.5,24,0.95,2.9030665156137583,69.6735963747302,0.0,69.6735963747302,2.0,34.8367981873651,0.0
0.5,0.5,24,0.95,2.9030665156137583,69.6735963747302,0.0,69.6735963747302,5.0,13.934719274946039,0.0
0.5,0.5,24,0.95,2.9030665156137583,69.6735963747302,0.05,73.15727619346671,0.5,146.31455238693343,-3.48367981873651
0.5,0.5,24,0.95,2.9030665156137583,69.6735963747302,0.05,73.15727619346671,1.0,73.15727619346671,-3.48367981873651
0.5,0.5,24,0.95,2.9030665156137583,69.6735963747302,0.05,73.15727619346671,2.0,36.57863809673336,-3.48367981873651
0.5,0.5,24,0.95,2.9030665156137583,69.6735963747302,0.05,73.15727619346671,5.0,14.631455238693343,-3.48367981873651
0.5,0.5,24,0.95,2.9030665156137583,69.6735963747302,0.1,76.64095601220322,0.5,153.28191202440644,-6.96735963747302
0.5,0.5,24,0.95,2.9030665156137583,69.6735963747302,0.1,76.64095601220322,1.0,76.64095601220322,-6.96735963747302
0.5,0.5,24,0.95,2.9030665156137583,69.6735963747302,0.1,76.64095601220322,2.0,38.32047800610161,-6.96735963747302
0.5,0.5,24,0.95,2.9030665156137583,69.6735963747302,0.1,76.64095601220322,5.0,15.328191202440644,-6.96735963747302
0.5,0.5,24,0.95,2.9030665156137583,69.6735963747302,0.25,87.09199546841275,0.5,174.1839909368255,-17.41839909368255
0.5,0.5,24,0.95,2.9030665156137583,69.6735963747302,0.25,87.09199546841275,1.0,87.09199546841275,-17.41839909368255
0.5,0.5,24,0.95,2.9030665156137583,69.6735963747302,0.25,87.09199546841275,2.0,43.545997734206374,-17.41839909368255
0.5,0.5,24,0.95,2.9030665156137583,69.6735963747302,0.25,87.09199546841275,5.0,17.41839909368255,-17.41839909368255
0.75,0.75,1,0.95,4.624377948724623,4.624377948724623,0.0,4.624377948724623,0.5,9.248755897449247,0.0
0.75,0.75,1,0.95,4.624377948724623,4.624377948724623,0.0,4.624377948724623,1.0,4.624377948724623,0.0
0.75,0.75,1,0.95,4.624377948724623,4.624377948724623,0.0,4.624377948724623,2.0,2.3121889743623116,0.0
0.75,0.75,1,0.95,4.624377948724623,4.624377948724623,0.0,4.624377948724623,5.0,0.9248755897449247,0.0
0.75,0.75,1,0.95,4.624377948724623,4.624377948724623,0.05,4.8555968461608545,0.5,9.711193692321709,-0.23121889743623117
0.75,0.75,1,0.95,4.624377948724623,4.624377948724623,0.05,4.8555968461608545,1.0,4.8555968461608545,-0.23121889743623117
0.75,0.75,1,0.95,4.624377948724623,4.624377948724623,0.05,4.8555968461608545,2.0,2.4277984230804273,-0.23121889743623117
0.75,0.75,1,0.95,4.624377948724623,4.624377948724623,0.05,4.8555968461608545,5.0,0.9711193692321709,-0.23121889743623117
0.75,0.75,1,0.95,4.624377948724623,4.624377948724623,0.1,5.086815743597086,0.5,10.173631487194172,-0.46243779487246234
0.75,0.75,1,0.95,4.624377948724623,4.624377948724623,0.1,5.086815743597086,1.0,5.086815743597086,-0.46243779487246234
0.75,0.75,1,0.95,4.624377948724623,4.624377948724623,0.1,5.086815743597086,2.0,2.543407871798543,-0.46243779487246234
0.75,0.75,1,0.95,4.624377948724623,4.624377948724623,0.1,5.086815743597086,5.0,1.0173631487194172,-0.46243779487246234
0.75,0.75,1,0.95,4.624377948724623,4.624377948724623,0.25,5.780472435905779,0.5,11.560944871811557,-1.1560944871811558
0.75,0.75,1,0.95,4.624377948724623,4.624377948724623,0.25,5.780472435905779,1.0,5.780472435905779,-1.1560944871811558
0.75,0.75,1,0.95,4.624377948724623,4.624377948724623,0.25,5.780472435905779,2.0,2.8902362179528893,-1.1560944871811558
0.75,0.75,1,0.95,4.624377948724623,4.624377948724623,0.25,5.780472435905779,5.0,1.1560944871811558,-1.1560944871811558
0.75,0.75,4,0.95,4.547119286603049,18.188477146412197,0.0,18.188477146412197,0.5,36.376954292824394,0.0
0.75,0.75,4,0.95,4.547119286603049,18.188477146412197,0.0,18.188477146412197,1.0,18.188477146412197,0.0
0.75,0.75,4,0.95,4.547119286603049,18.188477146412197,0.0,18.188477146412197,2.0,9.094238573206098,0.0
0.75,0.75,4,0.95,4.547119286603049,18.188477146412197,0.0,18.188477146412197,5.0,3.6376954292824393,0.0
