model,training_fraction,offline_fraction,hours,coverage,n_windows,combined_mw,incremental_shift_mw,combined_actual_coverage,combined_linear_quantile_mw
power_curves,0.0,0.0,1,0.5,4439,3.49826010564717,0.0,0.5001126379815274,3.49826010564717
power_curves,0.0,0.0,1,0.8,4439,2.9202154626471115,0.0,0.8001802207704438,2.920565369714956
power_curves,0.0,0.0,1,0.9,4439,2.7081581690572256,0.0,0.9002027483667493,2.708771272075986
power_curves,0.0,0.0,1,0.95,4439,2.516799412165224,0.0,0.950214012164902,2.5179440296630315
power_curves,0.0,0.0,1,0.99,4439,2.0701306642300734,0.0,0.9900878576255914,2.0719373401127688
power_curves,0.0,0.0,4,0.5,4433,3.2554375497855665,0.0,0.500112790435371,3.2554375497855665
power_curves,0.0,0.0,4,0.8,4433,2.7675125578673416,0.0,0.8003609293931875,2.7675125578673416
power_curves,0.0,0.0,4,0.9,4433,2.538929908731841,0.0,0.900518836002707,2.538929908731841
power_curves,0.0,0.0,4,0.95,4433,2.3198574507836445,0.0,0.9503722084367245,2.3198574507836445
power_curves,0.0,0.0,4,0.99,4433,1.9157409798255591,0.0,0.990300022558087,1.9157409798255591
power_curves,0.0,0.0,24,0.5,4393,2.8332109698906085,0.0,0.5001138174368314,2.8332109698906085
power_curves,0.0,0.0,24,0.8,4393,2.414909175807172,0.0,0.8017300250398361,2.414909175807172
power_curves,0.0,0.0,24,0.9,4393,2.1824611624210566,0.0,0.901206464830412,2.1824611624210566
power_curves,0.0,0.0,24,0.95,4393,1.9504805665157359,0.0,0.9501479626678807,1.9504805665157359
power_curves,0.0,0.0,24,0.99,4393,1.6368206966841712,0.0,0.9943091281584339,1.6368206966841712
power_curves,0.0,0.25,1,0.5,4439,3.536632658723172,0.018846502008425144,0.5001126379815274,3.536632658723172
power_curves,0.0,0.25,1,0.8,4439,2.96097381366932,0.007450542749011374,0.8001802207704438,2.9619545951665978
power_curves,0.0,0.25,1,0.9,4439,2.7464446958920656,0.002881298222547934,0.9002027483667493,2.746490632881714
power_curves,0.0,0.25,1,0.95,4439,2.564367137189775,0.001530366170344712,0.950214012164902,2.5646230258303504
power_curves,0.0,0.25,1,0.99,4439,2.154343101606763,0.00047568938818710616,0.9900878576255914,2.158477201698116
power_curves,0.0,0.25,4,0.5,4433,3.2974916285296563,0.014978468194964553,0.500112790435371,3.2974916285296563
power_curves,0.0,0.25,4,0.8,4433,2.802974165436513,0.005316809438584762,0.8001353485224453,2.802974165436513
power_curves,0.0,0.25,4,0.9,4433,2.5790481451699017,0.0017679999999999996,0.900518836002707,2.5790481451699017
power_curves,0.0,0.25,4,0.95,4433,2.371854885496136,0.000870471375492492,0.9503722084367245,2.371854885496136
power_curves,0.0,0.25,4,0.99,4433,1.9876199703723496,0.00020904773807773025,0.9905256034288292,1.9876199703723496
power_curves,0.0,0.25,24,0.5,4393,2.867850166791635,0.009440136862718164,0.501024356931482,2.867850166791635
power_curves,0.0,0.25,24,0.8,4393,2.4586403269034047,0.0013716770915261978,0.8008194855451856,2.4586403269034047
power_curves,0.0,0.25,24,0.9,4393,2.2439589268572293,0.0004919096640838012,0.9009788299567494,2.2439589268572293
power_curves,0.0,0.25,24,0.95,4393,1.9924211393855715,0.00030036281605058196,0.9515137719098566,1.9924211393855715
power_curves,0.0,0.25,24,0.99,4393,1.722676868664622,0.000136,0.9943091281584339,1.722676868664622
power_curves,0.0,0.5,1,0.5,4439,3.5772953041998288,0.03769300401685029,0.5001126379815274,3.5772953041998288
power_curves,0.0,0.5,1,0.8,4439,3.002161522178682,0.014901085498022748,0.8001802207704438,3.0021731706211674
power_curves,0.0,0.5,1,0.9,4439,2.7856174680226284,0.005762596445095868,0.9002027483667493,2.785883211138462
