dataset,mask,residual,portfolio,n_clusters,hours,calendar_hours,block_hours,valid_replicates,R,R_p5,R_p95,rho_weighted,rho_weighted_p5,rho_weighted_p95,R_excludes_one,rho_excludes_zero
Helios_allocated_GPU,full,raw,all,4,4344,4344,168,1000,1.4050046195620816,1.2566879667295707,1.4851394423688336,0.37326171310421563,0.25779441152554783,0.4215037332543595,True,True
Helios_allocated_GPU,full,raw,all,4,4344,4344,336,1000,1.4050046195620816,1.255189167649807,1.4855008339813662,0.37326171310421563,0.25744558743458684,0.42409773039663945,True,True
Helios_allocated_GPU,full,calendar,all,4,4344,4344,168,1000,1.264477006380432,1.0433662574193003,1.3240703867662553,0.229513722612121,0.0366368664177875,0.26711736102944506,True,True
Helios_allocated_GPU,full,calendar,all,4,4344,4344,336,1000,1.264477006380432,1.0162964892745165,1.3303678906338747,0.229513722612121,0.014391324984701888,0.27806248664241184,True,True
Helios_allocated_GPU,trim,raw,all,4,4008,4344,168,1000,1.3634489009170785,1.2569048185143683,1.485327298482207,0.3299350180496488,0.2593555733031654,0.42217877432967005,True,True
Helios_allocated_GPU,trim,raw,all,4,4008,4344,336,1000,1.3634489009170785,1.2549185122796318,1.4879917071489683,0.3299350180496488,0.2585996716370158,0.4250551284261061,True,True
Helios_allocated_GPU,trim,calendar,all,4,4008,4344,168,1000,1.181146912413342,1.038362247728617,1.3240975808200552,0.15155307797360326,0.03374837303610066,0.2681582509932468,True,True
Helios_allocated_GPU,trim,calendar,all,4,4008,4344,336,1000,1.181146912413342,1.0159923772147723,1.330192661631647,0.15155307797360326,0.013121672732130881,0.27225720083852256,True,True
Helios_allocated_GPU,low_allocation,raw,all,4,4199,4344,168,1000,1.3993513664073172,1.2908046514335891,1.3944204993601583,0.3739470497478244,0.2703711881501258,0.35715576907244695,True,True
Helios_allocated_GPU,low_allocation,raw,all,4,4199,4344,336,1000,1.3993513664073172,1.2883688581071804,1.399164871179384,0.3739470497478244,0.2697151075288571,0.3600186148149904,True,True
Helios_allocated_GPU,low_allocation,calendar,all,4,4199,4344,168,1000,1.2276058606146818,1.012056584833701,1.1728883687113623,0.19659255133358908,0.00966243562277204,0.14365715005465085,True,True
Helios_allocated_GPU,low_allocation,calendar,all,4,4199,4344,336,1000,1.2276058606146818,1.0001469518105308,1.1775047239953291,0.19659255133358908,0.00012209758282138387,0.14641173886621972,True,True
Helios_allocated_GPU,trim_low_allocation,raw,all,4,3863,4344,168,1000,1.337740740483902,1.2908495650292695,1.3939853430905695,0.3098795508205473,0.2728616916593698,0.35668967570045435,True,True
Helios_allocated_GPU,trim_low_allocation,raw,all,4,3863,4344,336,1000,1.337740740483902,1.289433756363492,1.399164871179384,0.3098795508205473,0.2702807250613779,0.35890647556701943,True,True
Helios_allocated_GPU,trim_low_allocation,calendar,all,4,3863,4344,168,1000,1.0832241054726723,1.0085040508889658,1.1566481489454954,0.06735832385256295,0.00695564269780924,0.1282603368677972,True,True
Helios_allocated_GPU,trim_low_allocation,calendar,all,4,3863,4344,336,1000,1.0832241054726723,0.9990402530638532,1.1718598546006394,0.06735832385256295,-0.0007563666897150536,0.1412466583868175,False,False
ASI_allocated_GPU,full,raw,all,14,1603,4440,168,1000,2.1878855364541203,2.006827696835781,2.393601368978315,0.4670552614535564,0.3896279687880681,0.6077738035300002,True,True
ASI_allocated_GPU,full,raw,all,14,1603,4440,336,1000,2.1878855364541203,1.940785719971403,2.4161518041303105,0.4670552614535564,0.36580924907987084,0.6105021255896581,True,True
ASI_allocated_GPU,full,calendar,all,14,1603,4440,168,1000,1.8623349187531137,1.546489357500818,2.020566166359221,0.33858625188911157,0.19726737461718521,0.46833621447287954,True,True
ASI_allocated_GPU,full,calendar,all,14,1603,4440,336,1000,1.8623349187531137,1.438153098058444,2.0233798124716857,0.33858625188911157,0.16425118902726749,0.47882019071361936,True,True
ASI_allocated_GPU,trim,raw,all,14,1435,4440,168,1000,2.17819862789462,2.000955170133249,2.4158516641357335,0.4644704029014067,0.3900090963036189,0.6159459867528161,True,True
ASI_allocated_GPU,trim,raw,all,14,1435,4440,336,1000,2.17819862789462,1.940456508325138,2.426043726781259,0.4644704029014067,0.36580924907987084,0.6179194935843652,True,True
ASI_allocated_GPU,trim,calendar,all,14,1435,4440,168,1000,1.852089082358821,1.5162303448396113,2.0282798129166997,0.3409053869810916,0.19036536061790313,0.4766797159614015,True,True
ASI_allocated_GPU,trim,calendar,all,14,1435,4440,336,1000,1.852089082358821,1.4143843174034947,2.0334970954798752,0.3409053869810916,0.15946677668386605,0.4845535250743219,True,True
ASI_allocated_GPU,low_allocation,raw,all,14,1554,4440,168,1000,2.2230450169276574,2.0397254475296025,2.424965663011504,0.4981863791066244,0.41776885250309703,0.6300192928748537,True,True
ASI_allocated_GPU,low_allocation,raw,all,14,1554,4440,336,1000,2.2230450169276574,1.9727109883391412,2.4387191321184964,0.4981863791066244,0.3972173055858928,0.6319317918993261,True,True
ASI_allocated_GPU,low_allocation,calendar,all,14,1554,4440,168,1000,1.911013868133903,1.610876312069214,2.0328240575213647,0.3718953972302155,0.2253525295457497,0.4818882760372023,True,True
ASI_allocated_GPU,low_allocation,calendar,all,14,1554,4440,336,1000,1.911013868133903,1.5488083813559352,2.037772125563317,0.3718953972302155,0.2030662240350079,0.4926892776646583,True,True
ASI_allocated_GPU,trim_low_allocation,raw,all,14,1386,4440,168,1000,2.2156857091619635,2.0367261444912184,2.441141617004629,0.4971198353314874,0.4177874318763716,0.6387512618120205,True,True
ASI_allocated_GPU,trim_low_allocation,raw,all,14,1386,4440,336,1000,2.2156857091619635,1.9727109883391412,2.460983593688161,0.4971198353314874,0.39710912304943013,0.6388297345218693,True,True
ASI_allocated_GPU,trim_low_allocation,calendar,all,14,1386,4440,168,1000,1.9051069059798962,1.5927200560081543,2.0444769429148653,0.37728286377643283,0.22120420228946208,0.49249324927423915,True,True
