train_weeks,origin_day,h,alpha,unit,K_mw,coverage,target,mean_shortfall_frac,worst_shortfall_frac,mean_train_mw,mean_test_mw,growth_ratio
4,28,1,0.9,abs,2.1996900975640763,1.0,0.9,0.0,0.0,2.9667042916599966,3.5141552033893557,1.1845316748515697
4,28,1,0.9,norm,2.6056025954219884,0.9910714285714286,0.9,0.06818911394574882,0.11303315849801618,2.9667042916599966,3.5141552033893557,1.1845316748515697
4,28,1,0.95,abs,2.031564910477283,1.0,0.95,0.0,0.0,2.9667042916599966,3.5141552033893557,1.1845316748515697
4,28,1,0.95,norm,2.406452985977335,0.9955357142857143,0.95,0.02050467728026419,0.039630893378035416,2.9667042916599966,3.5141552033893557,1.1845316748515697
4,28,4,0.9,abs,2.010128241013866,1.0,0.9,0.0,0.0,2.9667042916599966,3.5141552033893557,1.1845316748515697
4,28,4,0.9,norm,2.381060571994595,0.9910313901345291,0.9,0.022575081936656725,0.029389200991708917,2.9667042916599966,3.5141552033893557,1.1845316748515697
4,28,4,0.95,abs,1.8964132477570923,1.0,0.95,0.0,0.0,2.9667042916599966,3.5141552033893557,1.1845316748515697
4,28,4,0.95,norm,2.2463615605764136,1.0,0.95,0.0,0.0,2.9667042916599966,3.5141552033893557,1.1845316748515697
4,28,24,0.9,abs,1.8464847770325528,1.0,0.9,0.0,0.0,2.9667042916599966,3.5141552033893557,1.1845316748515697
4,28,24,0.9,norm,2.187219705526297,1.0,0.9,0.0,0.0,2.9667042916599966,3.5141552033893557,1.1845316748515697
4,28,24,0.95,abs,1.6368206966841712,1.0,0.95,0.0,0.0,2.9667042916599966,3.5141552033893557,1.1845316748515697
4,28,24,0.95,norm,1.9388659612750145,1.0,0.95,0.0,0.0,2.9667042916599966,3.5141552033893557,1.1845316748515697
4,35,1,0.9,abs,2.439547215990592,0.9940476190476191,0.9,0.03195322156569333,0.052658997898352294,3.154769378685077,3.603110807262528,1.1421154369021806
4,35,1,0.9,norm,2.786244534434594,0.9598214285714286,0.9,0.05956316593623822,0.17053830856960472,3.154769378685077,3.603110807262528,1.1421154369021806
4,35,1,0.95,abs,2.2191479287286042,1.0,0.95,0.0,0.0,3.154769378685077,3.603110807262528,1.1421154369021806
